eps,min_samples,n_ellipses
2.0,12,1
2.5,6,1
2.5,7,1
3.0,7,1
3.0,8,1
3.0,9,1
3.0,10,1
3.5,7,1
3.5,8,1
3.5,9,1
3.5,10,1
3.5,11,1
3.5,12,1
4.0,8,1
4.0,9,1
4.0,10,1
4.0,11,1
4.0,12,1
