sigma_PC1_major,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5
0.5,177.96700231904993,177.16526400745954,175.66343550505036,173.90391384005147,171.98911481436753,181.24502522194717,176.3953865549486,173.45387155637275,168.4903743128806
0.75,178.29330981295385,177.40181617146646,175.8428577644293,193.83123832325288,189.24501728495864,186.03987783332087,183.8337127030697,178.30695653210495,176.22269242093623
1.0,190.66502768196546,195.94551412367392,198.99401461615713,197.423453524892,195.3740724743386,192.73104462513703,189.21460213093263,184.79338515117774,179.60714367562042
1.25,197.3690143230699,205.134786745824,207.15831405482157,204.5440673062212,202.6575494399823,199.47086483827962,194.41089475910633,187.17618434183862,180.82708456168646
1.5,204.08025295194614,213.6069464378393,211.38888953955018,208.51785540643584,203.79056477560727,198.10124562343776,191.40534172690627,185.14290174629963,179.12135414304046
1.75,207.6743515881861,210.47792646981753,207.84186408861842,205.10827188698886,199.6078568489301,193.75930623945874,188.07593959892458,181.16909318558737,174.58676223973106
2.0,200.50913426298027,204.71655996927893,201.80926138377623,198.9767777841131,193.08783863677272,187.4069801583251,180.31653858430218,174.49665731370922,159.06101628036026
2.25,194.0378720837889,197.05406542889443,195.48315620394158,191.69224505382587,185.36050598003595,173.57590813710212,165.21309869674803,153.39741215358927,144.6201962755722
2.5,190.76218672255862,190.01247646388893,188.64187594346183,183.29575025071875,168.2352061574826,165.3819745683963,151.99427461570127,136.36010096307743,128.03107806891398
