sigma_PC1_major,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5
0.5,77.96700231904994,77.16526400745954,75.66343550505037,73.90391384005147,71.98911481436753,69.48031933959425,66.13897629853834,62.090235192736394,58.073707646213926
0.75,78.29330981295385,77.40181617146645,75.84285776442933,74.42825324862602,72.57835061829196,70.03987783332089,66.59233339272488,62.43394065908906,58.16713686538068
1.0,79.23645625339401,78.1424838206436,76.51562844901015,75.14742446920194,73.15185025211636,70.31725152168876,66.65362652117653,62.51150595654686,58.4207029976543
1.25,79.39666409265517,78.16508977612703,77.11023713174465,75.33710405670476,73.17036995280283,70.30419817161298,66.58480780258459,62.176184341838606,57.9104178950198
1.5,79.08025295194614,77.89266072355358,76.69501198852976,74.79692517387768,72.36199334703585,69.41272103327383,65.31838520516715,60.939080090248666,56.446935538389305
1.75,77.23956897949046,76.10292646981755,74.5663008303862,72.60481407232773,70.09966012761865,66.75200696938575,62.6101010896078,58.092170108664284,53.586762239731044
2.0,73.58605733990335,72.28412753684647,70.77477862515555,68.80436399100964,66.08053936669972,62.5622596614307,58.391404894462596,53.82358039063231,49.345059722298444
2.25,69.0378720837889,67.64230072301207,66.16588712763635,64.13318993571563,61.17749944408824,57.70710038070157,53.45073825017705,49.12884834745321,44.90318177256549
2.5,64.09552005589195,62.92914313055561,61.55602346462265,59.157819216236,56.26988823840745,52.92322869380884,48.84440724169597,44.617600120475466,40.630284418120354
