new_event_id,date,daily_eps,daily_minpts,workbook_n_clusters,reproduced_n_clusters,match
22,2012-07-14,3.565217391304348,9,2,2,1
22,2012-07-15,3.565217391304348,9,3,3,1
22,2012-07-16,3.565217391304348,9,2,2,1
22,2012-07-17,3.565217391304348,9,2,2,1
22,2012-07-18,3.565217391304348,9,2,2,1
22,2012-07-19,3.565217391304348,9,2,2,1
22,2012-07-20,3.565217391304348,9,2,2,1
22,2012-07-21,3.565217391304348,9,2,2,1
22,2012-07-22,3.565217391304348,9,2,2,1
22,2012-07-23,3.565217391304348,9,1,1,1
22,2012-07-24,3.565217391304348,9,1,1,1
22,2012-07-25,3.565217391304348,9,1,1,1
22,2012-07-26,3.565217391304348,9,1,1,1
22,2012-07-27,3.565217391304348,9,1,1,1
22,2012-07-28,3.565217391304348,9,1,1,1
22,2012-07-29,3.565217391304348,9,3,3,1
23,2015-07-16,2.96875,8,3,3,1
24,2015-07-28,3.6538461538461537,10,1,1,1
24,2015-07-29,3.6538461538461537,10,1,1,1
24,2015-07-30,3.6538461538461537,10,1,1,1
24,2015-07-31,3.6538461538461537,10,1,1,1
24,2015-08-01,3.6538461538461537,10,1,1,1
24,2015-08-02,3.6538461538461537,10,1,1,1
24,2015-08-03,3.6538461538461537,10,1,1,1
24,2015-08-04,3.6538461538461537,10,1,1,1
24,2015-08-05,3.6538461538461537,10,1,1,1
24,2015-08-06,3.6538461538461537,10,1,1,1
24,2015-08-07,3.6538461538461537,10,1,1,1
24,2015-08-08,3.6538461538461537,10,2,2,1
24,2015-08-09,3.6538461538461537,10,2,2,1
24,2015-08-10,3.6538461538461537,10,4,4,1
24,2015-08-11,3.6538461538461537,10,2,2,1
24,2015-08-12,3.6538461538461537,10,3,3,1
24,2015-08-13,3.6538461538461537,10,2,2,1
24,2015-08-14,3.6538461538461537,10,1,1,1
24,2015-08-15,3.6538461538461537,10,2,2,1
24,2015-08-16,3.6538461538461537,10,1,1,1
24,2015-08-17,3.6538461538461537,10,1,1,1
24,2015-08-18,3.6538461538461537,10,1,1,1
24,2015-08-19,3.6538461538461537,10,1,1,1
24,2015-08-20,3.6538461538461537,10,1,1,1
25,2016-06-07,3.657894736842105,10,2,2,1
25,2016-06-08,3.657894736842105,10,2,2,1
26,2016-07-17,3.0609756097560976,8,1,1,1
27,2016-08-03,3.0,8,2,2,1
28,2017-06-30,3.595238095238096,9,3,3,1
28,2017-07-01,3.595238095238096,9,4,4,1
28,2017-07-02,3.595238095238096,9,2,2,1
28,2017-07-03,3.595238095238096,9,1,1,1
28,2017-07-04,3.595238095238096,9,1,1,1
28,2017-07-05,3.595238095238096,9,2,2,1
28,2017-07-06,3.595238095238096,9,2,2,1
29,2017-07-17,3.5,9,1,1,1
29,2017-07-18,3.5,9,1,1,1
30,2017-07-22,3.4791666666666665,9,2,2,1
30,2017-07-23,3.4791666666666665,9,3,3,1
30,2017-07-24,3.4791666666666665,9,3,3,1
30,2017-07-25,3.4791666666666665,9,2,2,1
30,2017-07-26,3.4791666666666665,9,2,2,1
30,2017-07-27,3.4791666666666665,9,2,2,1
30,2017-07-28,3.4791666666666665,9,2,2,1
30,2017-07-29,3.4791666666666665,9,3,3,1
30,2017-07-30,3.4791666666666665,9,4,4,1
31,2017-08-01,3.611111111111111,9,3,3,1
31,2017-08-02,3.611111111111111,9,2,2,1
31,2017-08-03,3.611111111111111,9,2,2,1
31,2017-08-04,3.611111111111111,9,2,2,1
31,2017-08-05,3.611111111111111,9,1,1,1
31,2017-08-06,3.611111111111111,9,1,1,1
31,2017-08-07,3.611111111111111,9,2,2,1
31,2017-08-08,3.611111111111111,9,2,2,1
31,2017-08-09,3.611111111111111,9,3,3,1
31,2017-08-10,3.611111111111111,9,1,1,1
31,2017-08-11,3.611111111111111,9,2,2,1
31,2017-08-12,3.611111111111111,9,2,2,1
31,2017-08-13,3.611111111111111,9,2,2,1
32,2018-07-09,3.5454545454545454,8,1,1,1
32,2018-07-10,3.5454545454545454,8,1,1,1
32,2018-07-11,3.5454545454545454,8,1,1,1
32,2018-07-12,3.5454545454545454,8,1,1,1
32,2018-07-13,3.5454545454545454,8,2,2,1
32,2018-07-14,3.5454545454545454,8,4,4,1
32,2018-07-15,3.5454545454545454,8,3,3,1
33,2019-06-26,3.6538461538461537,8,2,2,1
33,2019-06-27,3.6538461538461537,8,3,3,1
34,2019-07-18,2.988372093023256,8,2,2,1
34,2019-07-19,2.988372093023256,8,2,2,1
34,2019-07-20,2.988372093023256,8,2,2,1
35,2020-07-19,3.1,8,2,2,1
35,2020-07-20,3.1,8,2,2,1
35,2020-07-21,3.1,8,2,2,1
36,2020-07-29,3.338709677419355,8,3,3,1
36,2020-07-30,3.338709677419355,8,3,3,1
36,2020-07-31,3.338709677419355,8,2,2,1
37,2021-06-28,3.6666666666666665,9,3,3,1
37,2021-06-29,3.6666666666666665,9,3,3,1
37,2021-06-30,3.6666666666666665,9,3,3,1
37,2021-07-01,3.6666666666666665,9,3,3,1
37,2021-07-02,3.6666666666666665,9,2,2,1
