date,new_event_id,event_id,v3_type,event_type_name,structure_id,cluster_id,n_member_cells,centroid_lon_unweighted,centroid_lat_unweighted,centroid_lon_tmax_weighted,centroid_lat_tmax_weighted,displacement_km,displacement_bearing_deg,nearest_cell_lon_old,nearest_cell_lat_old,nearest_cell_lon_new,nearest_cell_lat_new,nearest_cell_changed,sector_old,sector_new,tmax_min_c,tmax_max_c,tmax_mean_c,tmax_sd_c,tmax_weight_sum_c,structure_diameter_km,displacement_exceeds_diameter,weighted_inside_convex_hull,ellipse_area_km2,sector_changed
1983-07-13,1,1,2,Spatially clustered,1983-07-13_c0,0,125,30.972,21.356,31.05047508761103,21.39001819850779,8.967969882217886,65.15102889453833,30.5,21.5,31.5,21.5,1,0,0,34.926361083984375,46.43202972412109,42.123228118896485,2.2848050271724687,5265.403514862061,2276.0420398192286,0,1,790893.7982339282,0
1983-07-13,1,1,2,Spatially clustered,1983-07-13_c1,1,34,45.35294117647059,12.382352941176473,45.03410415656309,12.320740202907068,35.34005927408956,258.91401066175735,45.5,12.5,45.5,12.5,0,0,0,27.562658309936523,43.28784942626953,35.91459981132956,4.62248159377059,1221.096393585205,1346.2742223743894,0,1,255992.01440847176,0
1983-07-13,1,1,2,Spatially clustered,1983-07-13_c2,2,172,54.81395348837209,42.127906976744185,55.446508551209625,42.23210486470455,53.525869053865534,77.30001615645084,54.5,42.5,55.5,42.5,1,0,0,22.67152214050293,43.01753234863281,36.40352433226829,5.330706770654342,6261.4061851501465,2296.668925397215,0,1,725017.373596548,0
1983-07-13,1,1,2,Spatially clustered,1983-07-13_c3,3,36,46.72222222222222,31.0,46.68117614252466,30.989532814657984,4.088448154643454,253.52067928130344,46.5,30.5,46.5,30.5,0,1,1,36.99355316162109,50.85563659667969,46.2753250333998,3.347367451678802,1665.9117012023926,929.7567210451183,0,1,168088.8927064788,0
1987-07-23,2,2,3,Temporally clustered,1987-07-23_c0,0,381,33.077427821522306,31.61023622047244,34.155341651027406,30.88215545753578,130.61131314410682,127.89317269350047,33.5,31.5,34.5,30.5,1,0,0,25.88983726501465,49.89308166503906,38.34759844882595,6.209568236652864,14610.435009002686,3962.9981390723246,0,1,3266123.5324480752,0
1987-07-24,2,2,3,Temporally clustered,1987-07-24_c0,0,438,33.6324200913242,30.91780821917808,34.715571445340466,30.16504381139904,133.2925631298948,128.48521242066408,33.5,30.5,34.5,30.5,1,0,0,25.823169708251957,50.34062194824219,38.77546932708183,6.339332496024199,16983.65556526184,3981.212103350129,0,1,3166871.895995405,0
1987-07-25,2,2,3,Temporally clustered,1987-07-25_c0,0,491,34.26985743380855,29.88289205702648,35.275562383416585,29.177030535174,125.00317111079532,128.49993239286096,34.5,29.5,35.5,29.5,1,0,0,25.3697509765625,49.79838180541992,39.38240229962072,6.121757081667859,19336.75952911377,4092.428102413654,0,1,3452709.942445366,0
1987-07-26,2,2,3,Temporally clustered,1987-07-26_c0,0,513,34.340155945419106,30.022417153996106,35.28637751421265,29.20811023124321,128.63237573937732,134.32912852975346,34.5,30.5,35.5,29.5,1,0,0,25.746601104736328,49.61457824707031,38.83618006418091,6.131626250073268,19922.960372924805,3989.7755963664613,0,1,3518881.72269071,0
1987-07-27,2,2,3,Temporally clustered,1987-07-27_c0,0,504,35.38690476190476,30.08134920634921,36.10871272404261,29.16578693084553,123.23202847477503,145.26113550221476,35.5,30.5,36.5,29.5,1,0,0,21.283151626586918,50.163352966308594,38.66080737870837,6.281773431316648,19485.04691886902,4128.784972843453,0,1,3661638.641401211,0
1991-06-04,3,3,3,Temporally clustered,1991-06-04_c0,0,176,26.619318181818183,21.238636363636363,26.65588666559593,21.226201746430476,4.038071629530396,109.9278554395742,26.5,21.5,26.5,21.5,0,0,0,35.898963928222656,45.138065338134766,41.29549117521806,1.667089316725973,7268.006446838379,2291.02617005015,0,1,1020502.8478161176,0
1991-06-04,3,3,3,Temporally clustered,1991-06-04_c1,1,195,62.72564102564103,19.71025641025641,62.86702913919701,20.51692078997292,90.51800691106538,9.376581773986263,62.5,19.5,62.5,20.5,1,0,0,28.99297523498535,48.44999313354492,33.74475584763747,5.812156512500295,6580.227390289307,2671.2142703685918,0,1,1382214.0436230008,0
1991-06-05,3,3,3,Temporally clustered,1991-06-05_c0,0,169,27.39349112426036,20.5,27.369001758250544,20.515073923701475,3.0512520780144285,303.1614611914177,27.5,20.5,27.5,20.5,0,0,0,28.428956985473636,45.38054656982422,41.11821275067753,2.337801962129808,6948.977954864502,2380.013028422943,0,1,1087007.7495094195,0
1991-06-05,3,3,3,Temporally clustered,1991-06-05_c1,1,204,63.17156862745098,20.54901960784314,63.34064888910381,21.502542363022727,107.02461157147896,9.42210266148789,63.5,20.5,63.5,21.5,1,0,0,29.04254150390625,49.422149658203125,34.48173224692251,6.355507759958889,7034.273378372192,2545.283693629211,0,1,1391604.936285155,0
1998-05-24,4,4,3,Temporally clustered,1998-05-24_c0,0,158,29.93037974683544,14.386075949367088,29.776947505980985,14.437650008881077,17.50229880883347,289.04720559199137,29.5,14.5,29.5,14.5,0,0,0,27.1578426361084,45.07691192626953,40.97304619414897,3.508324525784741,6473.741298675537,2617.291739604894,0,1,925929.5493782004,0
1998-05-24,4,4,3,Temporally clustered,1998-05-24_c1,1,212,62.0,17.03301886792453,62.09882411592492,17.632195034404848,67.13942614057946,8.98679648941276,61.5,17.5,62.5,17.5,1,0,0,29.386823654174805,48.46710968017578,32.79814319790534,4.865793599300596,6953.206357955933,3376.513359909651,0,1,1625096.7234224891,0
