date,new_event_id,cluster_id,v3_type,n_member_cells,displacement_km,displacement_bearing_deg,centroid_lon_unweighted,centroid_lat_unweighted,centroid_lon_tmax_weighted,centroid_lat_tmax_weighted
2024-06-03,46,0,4,514,200.38310598392363,279.5542372847407,43.463035019455255,18.55642023346304,41.5879898820821,18.84755751137818
2024-06-04,46,0,4,596,192.14053954567436,278.61760177773414,42.258389261744966,19.511744966442954,40.44570902121074,19.76271421827776
2012-07-13,22,0,4,407,183.79538939709585,111.0785634644455,39.05036855036855,34.706388206388205,40.90887439782426,34.0962963245247
2024-06-02,46,0,4,494,180.73741514713396,280.66905665798186,45.83198380566802,18.31578947368421,44.14898143330291,18.610650569986984
2024-06-01,46,0,4,542,179.38102527225294,279.1601228727615,46.193726937269375,18.16420664206642,44.51755361639547,18.414877817619796
2024-06-05,46,0,4,641,177.69798792398535,281.87092945250924,42.19734789391576,20.626365054602186,40.52533177676513,20.94841464371193
2024-05-25,46,0,4,413,176.0282721345648,278.0875214187444,49.780871670702176,16.853510895883776,48.14361452438421,17.070732437680423
2015-08-11,24,1,4,263,175.65533908683187,149.74715446392767,43.42015209125475,34.57984790874525,44.36928882897623,33.20819750392391
2024-06-16,46,0,4,550,173.86494119943617,284.5667743806933,43.38909090909091,20.545454545454547,41.77129878877237,20.93284689754203
2024-06-09,46,0,4,468,166.63496695388093,286.58441469789244,47.39529914529915,18.346153846153847,45.88060293316816,18.769806770384985
2024-06-06,46,0,4,681,166.50332797489244,284.361664576137,42.3942731277533,20.56461086637298,40.84357175067807,20.93067780814462
2012-07-14,22,0,4,564,165.67588076820897,121.05329208513189,39.2872340425532,31.19503546099291,40.76443960807252,30.41569853614528
2024-05-28,46,0,4,475,164.9149515613582,277.9580361086834,49.24105263157895,16.565263157894737,47.70914078596511,16.76593171090572
2024-05-29,46,0,4,466,164.25390725299633,276.79263266622047,48.952789699570815,16.811158798283262,47.42126261754285,16.980988965384757
2001-08-12,10,0,4,378,164.00229745661815,136.82636233617745,38.69047619047619,33.2010582010582,39.87945871618216,32.11686247174234
2025-07-15,50,0,4,356,163.8880987185579,144.88585549651356,40.97191011235955,32.081460674157306,41.95757264024076,30.8685243911952
2025-07-31,50,0,4,419,160.19168304089288,147.36029293300632,43.9964200477327,31.99880668257757,44.8989599643206,30.778972826715293
2024-06-07,46,0,4,649,160.09629615516286,285.4656428717759,43.82049306625578,19.826656394453003,42.344080110724754,20.20616134825745
2024-06-15,46,0,4,603,159.99563070225244,282.2062346407157,42.75207296849088,21.408789386401327,41.2407515189274,21.70747567650579
2024-05-26,46,0,4,421,159.2982202555471,281.59624471109413,49.780285035629454,16.827790973871736,48.3139824494978,17.11188048538513
