date,method,eps,min_samples,n_components,n_noise
1987-07-24,A,2.0,6,1,10
1987-07-24,A,2.0,7,3,12
1987-07-24,A,2.0,8,3,14
1987-07-24,A,2.0,9,3,17
1987-07-24,A,2.0,10,3,28
1987-07-24,A,2.0,11,3,37
1987-07-24,A,2.0,12,5,52
1987-07-24,A,2.5,4,2,3
1987-07-24,A,2.5,5,1,7
1987-07-24,A,2.5,6,1,7
1987-07-24,A,2.5,7,1,8
1987-07-24,A,2.5,8,1,8
1987-07-24,A,2.5,9,1,8
1987-07-24,A,2.5,10,2,9
1987-07-24,A,2.5,11,3,11
1987-07-24,A,2.5,12,3,12
1987-07-24,A,3.0,4,2,3
1987-07-24,A,3.0,5,1,7
1987-07-24,A,3.0,6,1,7
1987-07-24,A,3.0,7,1,7
1987-07-24,A,3.0,8,1,7
1987-07-24,A,3.0,9,1,7
1987-07-24,A,3.0,10,1,7
1987-07-24,A,3.0,11,1,7
1987-07-24,A,3.0,12,1,7
1987-07-24,A,3.5,4,2,1
1987-07-24,A,3.5,5,1,5
1987-07-24,A,3.5,6,1,5
1987-07-24,A,3.5,7,1,6
1987-07-24,A,3.5,8,1,6
1987-07-24,A,3.5,9,1,6
1987-07-24,A,3.5,10,1,6
1987-07-24,A,3.5,11,1,6
1987-07-24,A,3.5,12,1,6
1987-07-24,A,4.0,4,2,1
1987-07-24,A,4.0,5,1,5
1987-07-24,A,4.0,6,1,5
1987-07-24,A,4.0,7,1,5
1987-07-24,A,4.0,8,1,5
1987-07-24,A,4.0,9,1,5
1987-07-24,A,4.0,10,1,6
1987-07-24,A,4.0,11,1,6
1987-07-24,A,4.0,12,1,6
1987-07-25,A,1.0,4,5,21
1987-07-25,A,1.0,5,4,55
1987-07-25,A,1.0,6,0,502
1987-07-25,A,1.0,7,0,502
1987-07-25,A,1.0,8,0,502
1987-07-25,A,1.0,9,0,502
1987-07-25,A,1.0,10,0,502
1987-07-25,A,1.0,11,0,502
1987-07-25,A,1.0,12,0,502
1987-07-25,A,1.5,4,4,5
1987-07-25,A,1.5,5,2,17
1987-07-25,A,1.5,6,3,20
1987-07-25,A,1.5,7,3,32
1987-07-25,A,1.5,8,3,43
1987-07-25,A,1.5,9,5,58
1987-07-25,A,1.5,10,0,502
1987-07-25,A,1.5,11,0,502
