multiplicity,count,median,mean,max
1,162,112.5282940580478,113.75474788130569,192.14053954567436
2,282,29.177095611012554,52.55772107286392,200.38310598392363
3,174,12.36108756654364,29.024053440793146,150.5332970576604
4,112,9.749105085067907,19.80617938575087,140.20640134631358
5,30,9.839731765587437,23.981436960132033,132.6375367057777
