v3_type,count,median,mean,max
1,3,95.65681388035574,94.20710777314692,98.48397301860172
2,13,15.606418162307104,29.818144979200902,159.06530089867593
3,185,17.50229880883347,33.0221499714131,147.25418204765177
4,559,48.19180715160466,61.64241868562565,200.38310598392363
