centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km
1,1,1,1983-07-13,2,Spatially clustered,31.05047508761103,21.39001819850779,-1443.3393536997733,-653.8508510907247
2,1,1,1983-07-13,2,Spatially clustered,45.03410415656309,12.320740202907068,3.743615148959467,-1730.6872395097705
3,1,1,1983-07-13,2,Spatially clustered,55.446508551209625,42.23210486470455,866.8343435596972,1616.1061795418973
4,1,1,1983-07-13,2,Spatially clustered,46.68117614252466,30.989532814657984,160.62951282665279,332.4542169869537
5,2,2,1987-07-23,3,Temporally clustered,34.155341651027406,30.88215545753578,-1034.692515452805,366.38316929652837
6,2,2,1987-07-24,3,Temporally clustered,34.715571445340466,30.16504381139904,-988.6027553994352,282.23792957732354
7,2,2,1987-07-25,3,Temporally clustered,35.275562383416585,29.177030535174,-944.0759025811501,168.31473675962252
8,2,2,1987-07-26,3,Temporally clustered,35.28637751421265,29.20811023124321,-942.7482461592524,171.67338462209443
9,2,2,1987-07-27,3,Temporally clustered,36.10871272404261,29.16578693084553,-863.5714467768761,160.8560922544218
10,3,3,1991-06-04,3,Temporally clustered,26.65588666559593,21.226201746430476,-1895.07894634871,-615.0303840885966
11,3,3,1991-06-04,3,Temporally clustered,62.86702913919701,20.51692078997292,1855.8961059375622,-700.4967705662191
12,3,3,1991-06-05,3,Temporally clustered,27.369001758250544,20.515073923701475,-1831.6992464671584,-704.0613964221247
13,3,3,1991-06-05,3,Temporally clustered,63.34064888910381,21.502542363022727,1890.875692742277,-584.4799426609741
14,4,4,1998-05-24,3,Temporally clustered,29.776947505980985,14.437650008881077,-1645.850529013367,-1407.1641220988254
15,4,4,1998-05-24,3,Temporally clustered,62.09882411592492,17.632195034404848,1811.881609250528,-1030.4088761704909
16,4,4,1998-05-25,3,Temporally clustered,30.041193869026472,14.70771334034666,-1615.0809122641085,-1380.531939426743
17,4,4,1998-05-25,3,Temporally clustered,61.6659049337068,18.033032868394308,1761.9578893238647,-991.9163742879297
18,4,4,1998-05-26,3,Temporally clustered,29.17025410250766,15.146852413823988,-1704.0528256628972,-1321.5116194874527
19,4,4,1998-05-26,3,Temporally clustered,61.08328815619943,18.173961726234214,1699.4178498774836,-983.9438046512813
20,5,5,1998-08-01,4,Mixed,31.843236411127688,35.9541178773414,-1185.1507736431533,949.2671425397933
21,5,5,1998-08-01,4,Mixed,47.1768903491874,25.792305329741936,218.33869752727134,-242.7040029074893
22,5,5,1998-08-02,4,Mixed,36.35417728781264,32.47933928430957,-812.0156631396391,526.1450728480269
23,5,5,1998-08-03,4,Mixed,36.4058103767787,31.74247621024345,-813.5074477179637,444.1960111704561
