"grid_id","lon","lat","x_km","y_km","n_days","mean_tmax","std_tmax","cv_tmax","mean_tmax_z","cv_tmax_z","std_tmax_z","pred_intensity_x1e6_baseline","pred_intensity_x1e6_variant1","pred_intensity_x1e6_variant2","pred_intensity_x1e6_variant3"
1,20.5,10.5,-2685.15333540328,-1697.61557415483,15738,33.1881061394706,4.38564139978028,0.132144973303084,0.417022098160312,-0.140549450295787,0.155040823436617,14.7520160135694,19.4490853281742,12.8749689797446,19.080423890498
2,21.5,10.5,-2577.67841698691,-1716.26173806613,15738,33.098594455862,4.44687948422638,0.134352517299683,0.402035003079159,-0.112590260045734,0.190127156955855,14.3134349115848,18.9820203371725,12.5229829246764,18.614530174665
3,22.5,10.5,-2469.9370979758,-1734.12101111299,15738,32.8301182448872,4.42951447310807,0.134922282035884,0.357083569493121,-0.10537402305034,0.180177881481724,13.748088871231,18.226855749506,12.3252975897842,17.8739126126428
4,23.5,10.5,-2361.94093446113,-1751.19471149142,15738,32.7031005696248,4.41589343002827,0.135029809195824,0.335816781746542,-0.104012160126457,0.172373710846724,13.3792149567659,17.7285211543686,12.1712265233467,17.3859116527293
5,24.5,10.5,-2253.70145188029,-1767.48409003169,15738,32.9798152662775,4.34244747784725,0.131669854509085,0.38214759915378,-0.1465669687567,0.130292884884101,13.6009330724729,17.8892277026498,12.3233352150695,17.5541410031707
6,25.5,10.5,-2145.23014682844,-1782.990331571,15738,33.5566725713323,4.36287901567158,0.130015245295769,0.478731809511324,-0.167523078286507,0.141999125484199,14.1055501659815,18.5513026386732,12.3248770309891,18.2067019517815
7,26.5,10.5,-2036.53848880533,-1797.71455625645,15738,33.7112738714389,4.40749243768385,0.130742387679927,0.504616970989219,-0.158313607359149,0.167560365982089,14.0269368426323,18.5125701192027,12.1165633526764,18.1651856575331
8,27.5,10.5,-1927.63792190104,-1811.65782077921,15738,33.5832182874157,4.36671490110901,0.130026695587579,0.48317640439437,-0.167378056992429,0.144196894356572,13.6820885079046,18.004723011705,12.0363264842901,17.670565096391
9,28.5,10.5,-1818.53986642469,-1824.82111954108,15738,33.3121122211646,4.38554221741592,0.131650079355508,0.437784649617998,-0.146817426859424,0.154983996944629,13.0986484638881,17.2843008232577,11.756677704236,16.9595716706167
10,29.5,10.5,-1709.25572047931,-1837.20538575408,15738,33.0299021943519,4.42912114589015,0.134094285833142,0.39053373963413,-0.115860837081883,0.179952524825406,12.4986766369789,16.5759444249882,11.4157697064942,16.2581336317343
11,30.5,10.5,-1599.79686148688,-1848.81149247426,15738,32.4382296504143,4.27442426236153,0.131771194310752,0.291468988359071,-0.145283470534664,0.0913190135233178,11.785428809,15.4551286069942,11.4723558019615,15.1694935303402
12,31.5,10.5,-1490.17464766642,-1859.6402535703,15738,32.7845147390168,4.16017979306919,0.12689465823077,0.349448096100608,-0.207046225991197,0.0258626951460376,12.103431468521,15.6942878636358,11.7434329368399,15.4180185974258
