centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km,nearest_grid_id,nearest_grid_lon,nearest_grid_lat,mean_tmax,std_tmax,cv_tmax,mean_tmax_z,cv_tmax_z,nearest_grid_dist_km
16,4,4,1998-05-25,3,Temporally clustered,30.041193869026472,14.70771334034666,-1615.0809122641085,-1380.531939426743,211,30.5,14.5,36.71176886513085,3.0099178261626807,0.08198781805421329,1.0069950064376332,-0.7758044885489672,55.11959489239765
17,4,4,1998-05-25,3,Temporally clustered,61.6659049337068,18.033032868394308,1761.9578893238647,-991.9163742879297,442,61.5,18.5,27.454664288156142,1.3020952112446784,0.04742710373648234,-0.5429379283275098,-1.213526041675957,54.38699415855144
18,4,4,1998-05-26,3,Temporally clustered,29.17025410250766,15.146852413823988,-1704.0528256628972,-1321.5116194874527,260,29.5,15.5,36.70652288680974,2.7821583394222618,0.07579465775065317,1.0061166632680885,-0.8542426748062453,52.01007562170638
19,4,4,1998-05-26,3,Temporally clustered,61.08328815619943,18.173961726234214,1699.4178498774836,-983.9438046512813,442,61.5,18.5,27.454664288156142,1.3020952112446784,0.04742710373648234,-0.5429379283275098,-1.213526041675957,57.532311743948355
20,5,5,1998-08-01,4,Mixed,31.843236411127688,35.9541178773414,-1185.1507736431533,949.2671425397933,1262,31.5,35.5,24.000692202608896,3.8576729281349182,0.1607317362169907,-1.1212424129138407,0.2215102613904507,59.619732866659334
21,5,5,1998-08-01,4,Mixed,47.1768903491874,25.792305329741936,218.33869752727134,-242.7040029074893,778,47.5,25.5,39.094487184429276,4.395576278928185,0.11243468313555151,1.4059376311687666,-0.3901860389784994,45.82440606146032
22,5,5,1998-08-02,4,Mixed,36.35417728781264,32.47933928430957,-812.0156631396391,526.1450728480269,1117,36.5,32.5,29.617343733764873,5.011234081962552,0.1691993085878785,-0.18083679052400292,0.32875454156722506,13.888242170107361
23,5,5,1998-08-03,4,Mixed,36.4058103767787,31.74247621024345,-813.5074477179637,444.1960111704561,1067,36.5,31.5,30.399127029678784,4.7333494069366315,0.1557067544181596,-0.049941469194251784,0.15786739749597517,28.336249100048043
24,5,5,1998-08-04,4,Mixed,36.20478344429391,32.02180485041656,-830.0304120615885,476.5210047943159,1117,36.5,32.5,29.617343733764873,5.011234081962552,0.1691993085878785,-0.18083679052400292,0.32875454156722506,60.05427360452144
25,5,5,1998-08-05,4,Mixed,36.88051891932417,32.21192926369727,-764.9119770791517,493.0238246618451,1117,36.5,32.5,29.617343733764873,5.011234081962552,0.1691993085878785,-0.18083679052400292,0.32875454156722506,47.87093666239216
26,5,5,1998-08-06,4,Mixed,38.69243149846711,31.59847326657092,-598.4094117552689,414.6655995714682,1069,38.5,31.5,33.345989065137566,5.167466396565077,0.1549651559733623,0.44345670784776303,0.1484748363333521,21.307420723105643
27,5,5,1998-08-07,4,Mixed,38.85545662109036,28.110581414312428,-603.2918723091666,27.390579853052447,919,38.5,28.5,34.47245775933701,4.342280094182139,0.12596375125025758,0.6320632980189842,-0.2188364351165276,55.48543489198958
28,5,5,1998-08-07,4,Mixed,36.95622249949766,42.82160164250247,-662.3950727199763,1664.09831705768,1617,36.5,42.5,19.68609815959419,5.201190014777235,0.264206242019696,-1.8436423114786094,1.5320451355429463,52.16678364952974
29,5,5,1998-08-07,4,Mixed,49.59804277226645,41.435564400658514,386.8358351707426,1494.9860975515262,1580,49.5,41.5,21.137906598202502,5.883098708251558,0.27831983649468095,-1.6005635285548496,1.7107979366858745,10.931592194572879
30,5,5,1998-08-08,4,Mixed,39.76973575317651,27.829777969571523,-514.9680939772593,-7.894432564398169,870,39.5,27.5,33.805158960514746,4.276577785676728,0.1265066610298113,0.5203363128668023,-0.21196032400003448,45.216040526527664
31,5,5,1998-08-08,4,Mixed,50.88927738247682,39.80837841454539,506.666001124507,1320.726593938231,1481,50.5,39.5,22.005643976948164,5.423158619287927,0.24644398614141502,-1.4552767673584872,1.3070809707805495,47.61694609159508
32,5,5,1998-08-09,4,Mixed,39.40555351988267,27.804056406527984,-550.9094937337861,-9.163536540375599,870,39.5,27.5,33.805158960514746,4.276577785676728,0.1265066610298113,0.5203363128668023,-0.21196032400003448,34.9879353244884
33,5,5,1998-08-09,4,Mixed,50.86882297787124,39.87207165063906,504.4722660120568,1327.6617535696284,1481,50.5,39.5,22.005643976948164,5.423158619287927,0.24644398614141502,-1.4552767673584872,1.3070809707805495,51.74929449727335
34,5,5,1998-08-10,4,Mixed,39.9213363045259,27.694433788084343,-500.6775518539033,-23.518186951996594,870,39.5,27.5,33.805158960514746,4.276577785676728,0.1265066610298113,0.5203363128668023,-0.21196032400003448,46.818876452030196
35,5,5,1998-08-10,4,Mixed,51.10416833399216,39.28944684773325,528.8030618114491,1264.4515023938725,1482,51.5,39.5,21.991946497204676,5.3771856615814375,0.24450703634918872,-1.457570159941576,1.2825489352564075,41.21061473846787
36,5,5,1998-08-11,4,Mixed,41.126125203646914,27.14067236411224,-383.9070462680913,-89.20350387222086,872,41.5,27.5,35.225103146452085,4.502734962481154,0.12782744577810198,0.7580800091826763,-0.1952321989371903,54.35069838418303
37,5,5,1998-08-11,4,Mixed,51.60950068433424,38.70959128487251,576.8997875342847,1202.9238460505514,1432,51.5,38.5,22.54771741558506,5.081720093723756,0.22537625428156438,-1.3645164795580775,1.0402519861196144,25.008593434973196
38,6,6,1999-08-18,4,Mixed,36.436754343710064,37.4873777979399,-758.727465267645,1079.4827661951906,1367,36.5,37.5,27.23272030234473,5.967611851258166,0.21913388692000615,-0.5800983914530732,0.961190578083593,5.786619233224456
39,6,6,1999-08-18,4,Mixed,36.86062157997889,24.371360011592984,-825.0694767394218,-375.3690813058112,717,36.5,24.5,28.730085489149698,2.272563685409464,0.07910048462152082,-0.3293919638544948,-0.8123734107921405,39.2551889974866
40,6,6,1999-08-18,4,Mixed,50.20285818094221,23.762297472165887,530.408410080956,-458.5270296131021,681,50.5,23.5,41.44297123488575,3.907932637808259,0.09429663273077896,1.7991483534098147,-0.6199097513092786,41.92620095803273
41,6,6,1999-08-18,4,Mixed,65.28595217874003,43.364958392842446,1641.947544420178,1854.2322498849728,1696,65.5,43.5,29.889572381337,6.921418149880056,0.2315663155556477,-0.13525708002704043,1.1186509222623462,22.479498075664637
42,6,6,1999-08-19,4,Mixed,36.369756709471496,36.370257781427,-775.2980714570449,956.5048389215436,1317,36.5,36.5,28.497632473756433,5.19717836003577,0.18237228530552035,-0.3683119718707848,0.49559414375662914,18.624247307742635
43,6,6,1999-08-19,4,Mixed,52.02784075186592,25.26348954469391,707.4012790574039,-283.3474810683692,783,52.5,25.5,31.322325531962807,3.324399637241108,0.1061351473998548,0.10463124326866484,-0.4699715011902415,54.28083536048094
44,6,6,1999-08-19,4,Mixed,65.23968325194552,43.35808770222461,1638.4562278926971,1852.779041584469,1696,65.5,43.5,29.889572381337,6.921418149880056,0.2315663155556477,-0.13525708002704043,1.1186509222623462,25.80916492884798
45,6,6,1999-08-20,4,Mixed,36.86996528046988,35.358391546361084,-739.4053028949252,841.3326872884221,1267,36.5,35.5,28.562087698197303,5.028059639362673,0.17603964011636372,-0.35752012282685486,0.4153893406349039,36.970811688354466
46,6,6,1999-08-20,4,Mixed,65.27719049488609,43.35909451354572,1641.4016665265794,1853.4602721452552,1696,65.5,43.5,29.889572381337,6.921418149880056,0.2315663155556477,-0.13525708002704043,1.1186509222623462,23.42461112790472
47,6,6,1999-08-21,4,Mixed,36.98714067179596,35.14263229497727,-730.6273591748239,816.7223396478582,1267,36.5,35.5,28.562087698197303,5.028059639362673,0.17603964011636372,-0.35752012282685486,0.4153893406349039,59.209488698636555
48,6,6,1999-08-22,4,Mixed,38.35644760977115,33.83177911374344,-615.2084828140306,663.7279556754814,1169,38.5,33.5,31.83097562233637,5.352660287040181,0.1681588510056262,0.18979540240565707,0.31557684203592296,39.07251452143744
49,7,7,2000-07-07,4,Mixed,36.0605715954815,31.956598092281613,-844.1727907071815,470.3191855598067,1067,36.5,31.5,30.399127029678784,4.7333494069366315,0.1557067544181596,-0.049941469194251784,0.15786739749597517,65.44039832823053
50,7,7,2000-07-07,4,Mixed,33.926137253363464,20.390696821487253,-1155.6606402111152,-793.2189193582633,514,33.5,20.5,39.56212090215806,2.896377740524022,0.07321088138037687,1.4842343485157121,-0.8869669580873325,46.16248442300525
51,7,7,2000-07-08,4,Mixed,39.196798047507066,29.47062922299907,-562.5304932848746,176.46241957966433,970,39.5,29.5,34.4901033253148,4.842675092001291,0.14040767133471876,0.6350177254680994,-0.03589996353530119,29.56339258832872
52,7,7,2000-07-08,4,Mixed,34.80699177028674,21.00878885453835,-1059.442806313808,-732.3708389380553,565,34.5,21.5,38.4838308874148,2.9064631746318645,0.07552426844236947,1.3036943974778945,-0.8576672344632821,63.341568049944506
53,7,7,2000-07-09,4,Mixed,40.46840630560699,28.094137673413584,-445.1563237733099,18.664368976919157,921,40.5,28.5,34.25310512164115,4.723528751727466,0.13790074607697786,0.5953367087636284,-0.0676509050032168,45.113718476508424
54,8,8,2000-07-28,4,Mixed,41.43108677507978,37.35697062918053,-317.19291350291456,1041.425626989805,1372,41.5,37.5,31.411450741024115,7.159039130568961,0.2279117634391551,0.11955363025190603,1.0723649510376723,16.992625213649646
55,8,8,2000-07-28,4,Mixed,52.342775203635405,25.284823773738555,738.9011863419793,-279.1671517105752,783,52.5,25.5,31.322325531962807,3.324399637241108,0.1061351473998548,0.10463124326866484,-0.4699715011902415,28.65910263775118
56,8,8,2000-07-29,4,Mixed,43.50884179126104,36.36599857661639,-134.1930235601896,927.6978286655683,1324,43.5,36.5,35.29658260495739,7.028319720491377,0.19912181865176523,0.7700479378125549,0.7077318815090347,14.848470156589093
57,8,8,2000-07-29,4,Mixed,53.76655116061848,26.184164217155228,875.01439589128,-170.34278742432096,834,53.5,26.5,31.19328935222987,3.0628752963513537,0.09819019923695231,0.08302649384822379,-0.5705965929463723,43.943126058739196
58,8,8,2000-07-30,4,Mixed,43.82524778676246,34.47554261133818,-108.10119619493098,718.0955025770829,1224,43.5,34.5,37.25374903456503,5.847453435281516,0.1569628181543847,1.097739678015078,0.1737758120151992,30.043553492623268
59,8,8,2000-07-31,4,Mixed,44.06972832831982,33.65947663588692,-86.39592882912862,627.5081060635684,1175,44.5,33.5,39.86924847164001,5.872625063849648,0.14729710965148973,1.5356572455086315,0.05135678736589292,43.71432210687677
60,8,8,2000-08-01,4,Mixed,44.14665031844167,32.32952371447101,-80.40767627657257,480.1101053668762,1125,44.5,32.5,39.94829000816486,5.583450670555047,0.13976695046055462,1.548891305862559,-0.04401488076709363,38.26064138809113
61,8,8,2000-08-02,4,Mixed,46.430086318641365,32.36687747010387,134.69366313109083,484.77277680842724,1127,46.5,32.5,40.96496327196965,5.877550854770364,0.14347750822449995,1.7191146583550498,0.0029804183598195967,16.146946306482292
62,9,9,2001-07-28,4,Mixed,40.800075316540536,34.867222370972634,-384.5989669695087,767.881456864634,1221,40.5,34.5,34.553374926249184,5.629064313256945,0.16290924765733117,0.6456113983933727,0.24908908053333584,49.21936696540501
63,9,9,2001-07-29,4,Mixed,39.8946890750669,35.43019589765749,-464.35355730026646,833.5122210388286,1270,39.5,35.5,33.169084910956194,5.740328463498018,0.17306261173343104,0.4138373411675514,0.3776844056182142,36.65671326295333
64,9,9,2001-07-29,4,Mixed,53.93903723618648,24.868902431025084,902.184647877394,-314.7897661396685,734,53.5,24.5,33.71618021990356,3.261838794914782,0.09674401944824199,0.5054384493479841,-0.5889128828643264,60.475877586938054
65,9,9,2001-07-30,4,Mixed,40.47259376808489,34.93969821432145,-414.21212928390486,777.0316998794056,1221,40.5,34.5,34.553374926249184,5.629064313256945,0.16290924765733117,0.6456113983933727,0.24908908053333584,48.77531687173722
66,9,9,2001-07-30,4,Mixed,53.808819195519966,25.08146016551357,887.5130373613459,-292.17876509476554,784,53.5,25.5,31.08224057381664,3.1573592024135415,0.1015808109108218,0.0644334059559028,-0.5276535046093574,55.78852275538151
